Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Quantity~Integer~Quantity~100|Field=Footprint~String~Footprint~100|Field=Designator~String~Designator~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~10|ReportField=ProjectFileName~Aeroval-v2.PrjPcb|ReportField=ProjectFullPath~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Aeroval-v2.PrjPcb|ReportField=Title~Bill of Materials For Project [Aeroval-v2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~208|ReportField=ReportTime~16:38:45|ReportField=ReportDate~22.08.2015|ReportField=ReportDateTime~22.08.2015 16:38:45|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~valentin.py@gmail.com|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Valentin Py|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~22.08.2015|ReportField=CurrentTime~16:38:31|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Interfaces.SchDoc|ReportField=DocumentName~Interfaces.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Valentin Py|ReportField=Engineer~Valentin Py|ReportField=ImagePath~|ReportField=ModifiedDate~23.07.2015|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.24|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=A4|PrintScaleMode=1|ReportField=ProjectName~Aeroval-v2.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~Interfaces|ReportField=DataSourceFileName~Aeroval-v2.PrjPcb|ReportField=DataSourceFullPath~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Aeroval-v2.PrjPcb
4k7|RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 1% 0603, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805, RES 4.7K 0805|17|060301|R2, R11, R12, R13, R14, R21, R22, R23, R24, R33, R58, R59, R60, R61, R62, R63, R64|Stackpole Electronics Inc.|RMCF0603FT4K70|Digi-Key|RMCF0603FT4K70CT-ND|1,785|0,0105|4k7
220R|RES 220R 0805|8|060301|R6, R7, R8, R15, R16, R17, R18, R25|Stackpole Electronics Inc.|RMCF0603FT220R|Digi-Key|RMCF0603FT220RCT-ND|1,104|0,0138|220R
15k|RES 15K 0805|7|060301|R9, R10, R19, R20, R26, R27, R65|Rohm Semiconductor|MCR03ERTF1502|Digi-Key|RHM15.0KCFCT-ND|1,12|0,016|15k
10k|RES 10K 0805|4|060301|R28, R30, R31, R66|Rohm Semiconductor|MCR03ERTF1002|Digi-Key|RHM10.0KCFCT-ND|0,64|0,016|10k
2k2|RES 2.2k 0805|2|060301|R29, R32|Stackpole Electronics Inc.|RMCF0603FT2K20|Digi-Key|RMCF0603FT2K20CT-ND|0,5|0,025|2k2
2k|RES 2K 1% 0805|1|060301|R34|Panasonic Electronic Components|ERJ-3EKF2001V|Digi-Key|P2.00KHCT-ND|1|0,10|2k
1k|RES 1k 0805|2|060301|R35, R36|Panasonic Electronic Components|ERJ-3EKF1001V|Digi-Key|P1.00KHDKR-ND|2|0,10|1k
330R|RES 330R 0805|8|060301|R38, R39, R40, R41, R42, R43, R44, R45|Rohm Semiconductor|MCR03ERTF3300|Digi-Key|RHM330CFCT-ND|1,28|0,016|330R
1M|RES 1M 0603|1|060301|R67|Yageo|RC0603FR-071ML|Digi-Key|311-1.00MHRCT-ND|0,14|0,014|1M
SWITCH|SWITCH DIP TOP SLIDE 4POS SMD|2|GDS04|SW1, SW2|C&K Components|SDA04H1SBD|Digi-Key|CKN6068-ND|32,88|1,644|
EVQ-PAG05R|SWITCH LT 6MM 260GF 5MM HEIGHT|1|EVQ-PAG05R|SW3|Panasonic Electronic Components|EVQ-PAG05R|Digi-Key|P12195S-ND|2,56|0,256|EVQ-PAG05R
BCV27|TRANS NPN DARL 30V 1.2A SOT23|4|BCV27|T1, T2, T3, T4|Fairchild Semiconductor|BCV27|Digi-Key|BCV27CT-ND|6|0,15|
CP2102|Single-Chip USB to UART Bridge|1|QFN-28|U1|Silicon Labs|CP2102-GM|Digi-Key|336-1160-5-ND|27,5|2,75|
NCV1117ST50T3G|Low Dropout (LDO) Regulators ANA 800mA LDO|1|SOT223|U2|ON Semiconductor|NCV1117ST50T3G|Digi-Key|NCV1117ST50T3GOSCT-ND|8,72|0,872|
REG1117-3.3/2K5|IC REG LDO 3.3V 0.8A SOT223|1|SOT223|U3|Texas Instruments|REG1117-3.3/2K5|Digi-Key|296-21321-1-ND|16,3|1,63|
LM2596|IC REG BUCK ADJ 3A TO263-5|1|TO263|U4|Texas Instruments|LM2596SX-ADJ/NOPB|Digi-Key|296-35399-1-ND|40,5|4,05|
SN74LV4T125|IC BUFF/DVR NON-INVERT 14TSSOP|3|TSSOP14|U5, U6, U7|Texas Instruments|SN74LV4T125PWR|Digi-Key|296-40545-1-ND|24,192|0,8064|
MK64FN1M0VLQ12|MK64FN1M0VLQ12|1|LQFP 144|uC1|Freescale Semiconductor|MK64FN1M0VLQ12|Digi-Key|MK64FN1M0VLQ12-ND|115,26|11,526|
CRYSTAL 32.768k|CRYSTAL 32.768 KHZ 12.5PF SMD|1|XT-5|Y1|ECS Inc.|ECS-.327-12.5-17X-C-TR|Digi-Key|XC1912CT-ND|10,73|1,073|32.768kHz
ABM3-8.000MHZ-D2Y-T|CRYSTAL 8MHZ 18PF SMD|1|XT8_2-SMD|Y2|Abracon LLC|ABM3-8.000MHZ-D2Y-T|Digi-Key|535-10630-6-ND|9,68|0,968|8 MHz
